sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
female,men,18.9,1,2,2,2,1,2,2,2,3,1,2,2,2,1,2,2,1,2,1,2,1,1,2,3,1,1,1,2,3,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2
female,men,19.9,3,4,3,3,4,4,3,5,4,4,4,4,6,3,4,2,2,3,3,2,3,3,4,4,3,1,2,3,4,5,4,2,4,4,3,2,2,2,2,4,3,2,5,3,3,2,2,1,3,4
female,men,18.9,2,3,1,1,1,2,2,1,3,1,3,1,1,1,2,2,1,2,1,2,1,1,2,3,2,1,1,1,3,1,2,1,2,2,1,2,1,1,1,3,1,3,1,1,3,1,1,1,2,3
female,men,19.3,2,2,1,2,2,1,2,2,3,1,1,1,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,2,2,4,1,1,1,1,1,1,2,1,1,1,2,2,1,3,1,1,1,2,2
female,men,22.1,2,3,3,3,2,3,2,2,5,1,4,3,2,3,4,5,1,2,2,3,4,2,3,3,2,1,1,4,4,4,4,2,2,2,1,3,1,1,1,3,2,3,2,2,2,2,2,1,3,3
female,men,21.7,2,5,2,4,4,5,4,3,5,3,3,2,6,3,3,5,1,5,5,2,3,1,4,5,2,1,1,4,5,3,6,3,2,6,3,3,4,5,3,4,4,4,5,3,4,5,2,1,5,5
female,men,20.2,1,6,1,2,2,1,1,3,5,1,1,1,1,1,2,4,1,1,1,2,1,1,3,2,1,1,1,2,4,2,1,2,1,2,2,2,1,2,1,1,1,3,2,1,3,1,1,1,2,1
female,men,19.6,2,5,2,2,4,4,5,5,6,4,4,4,5,2,7,5,1,3,6,4,6,2,2,5,2,1,2,4,4,6,6,1,3,3,3,4,3,2,2,5,4,5,3,1,3,2,5,1,5,4
female,men,19.2,1,2,1,1,1,1,1,3,1,1,2,1,4,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,1,1
female,men,22.8,3,4,3,3,3,3,4,6,5,4,6,4,7,4,6,3,2,5,3,4,5,3,3,1,3,1,2,7,7,3,4,3,3,1,1,2,3,6,1,4,2,4,6,2,2,1,1,1,4,3
